,구별,CCTV 댓수,최근 증가율
1,종로구,"1,980",216.29
2,중 구,"2,584",186.79
3,용산구,"2,847",106.45
4,성동구,"4,047",273.34
5,광진구,"3,480",214.93
6,동대문구,"2,759",292.46
7,중랑구,"4,193",135.96
8,성북구,"4,842",385.17
9,강북구,"3,321",99.58
10,도봉구,"2,247",64.13
11,노원구,"2,617",244.8
12,은평구,"4,653",263.23
13,서대문구,"3,445",170.41
14,마포구,"2,628",343.92
15,양천구,"3,851",276.81
16,강서구,"3,265",141.32
17,구로구,"4,693",197.4
18,금천구,"2,636",164.39
19,영등포구,"4,553",122.64
20,동작구,"2,671",226.93
21,관악구,"5,398",382.83
22,서초구,"4,995",167.97
23,강남구,"7,243",280.21
24,송파구,"3,203",347.35
25,강동구,"3,190",133.7
